age,workclass,education,occupation,hours-per-week,income
25.0,Private,Bachelors,Exec-managerial,45,<=50K
33.0,Private,Masters,Sales,40,<=50K
68.0,Others,Masters,Others,30,<=50K
37.0,Private,Masters,Exec-managerial,55,>50K
31.0,State-gov,Assoc-voc,Sales,40,>50K
31.0,State-gov,HS-grad,Craft-repair,40,<=50K
31.0,Private,HS-grad,Machine-op-inspct,40,<=50K
51.0,Private,HS-grad,Other-service,80,<=50K
20.0,Others,Some-college,Others,25,<=50K
50.0,State-gov,Doctorate,Prof-specialty,40,>50K
19.0,Others,7th-8th,Others,35,<=50K
30.0,Private,Assoc-voc,Adm-clerical,40,<=50K
32.0,Private,HS-grad,Craft-repair,40,<=50K
61.0,Private,Masters,Prof-specialty,18,<=50K
43.0,Private,Bachelors,Sales,40,<=50K
21.0,Private,HS-grad,Other-service,25,<=50K
32.0,Private,Assoc-voc,Exec-managerial,50,>50K
41.0,Private,Some-college,Sales,60,<=50K
27.0,Private,Some-college,Other-service,10,<=50K
23.0,Private,Bachelors,Prof-specialty,30,<=50K
52.0,Self-emp-not-inc,Assoc-voc,Farming-fishing,48,>50K
38.0,Private,Bachelors,Exec-managerial,60,>50K
18.0,Others,HS-grad,Others,15,<=50K
25.0,Private,Bachelors,Prof-specialty,40,<=50K
38.0,Private,Some-college,Exec-managerial,55,>50K
39.0,Private,Assoc-voc,Adm-clerical,40,<=50K
64.0,Self-emp-inc,Some-college,Exec-managerial,70,<=50K
31.0,Self-emp-inc,Prof-school,Prof-specialty,99,>50K
56.0,Private,Some-college,Adm-clerical,45,>50K
40.0,Private,Some-college,Prof-specialty,40,<=50K
39.0,Private,Some-college,Craft-repair,40,<=50K
50.0,Private,Some-college,Sales,40,<=50K
23.0,Private,HS-grad,Craft-repair,40,<=50K
41.0,Self-emp-inc,Masters,Prof-specialty,70,>50K
37.0,Private,Bachelors,Handlers-cleaners,40,>50K
52.0,Private,HS-grad,Craft-repair,40,>50K
29.0,Private,HS-grad,Craft-repair,40,<=50K
41.0,Private,HS-grad,Handlers-cleaners,40,<=50K
47.0,Private,HS-grad,Craft-repair,40,>50K
25.0,Private,HS-grad,Machine-op-inspct,40,<=50K
22.0,Private,HS-grad,Sales,20,<=50K
42.0,Private,HS-grad,Tech-support,36,<=50K
27.0,Private,Bachelors,Prof-specialty,50,<=50K
33.0,Private,11th,Machine-op-inspct,40,<=50K
37.0,Private,Masters,Sales,50,>50K
29.0,Self-emp-not-inc,9th,Other-service,27,<=50K
49.0,Private,HS-grad,Craft-repair,43,<=50K
67.0,Others,Some-college,Others,16,<=50K
44.0,Private,HS-grad,Exec-managerial,40,<=50K
47.0,Private,7th-8th,Craft-repair,40,>50K
49.0,Private,HS-grad,Other-service,40,<=50K
37.0,State-gov,HS-grad,Craft-repair,40,<=50K
41.0,Private,HS-grad,Sales,50,>50K
19.0,Private,HS-grad,Other-service,40,<=50K
22.0,Private,HS-grad,Other-service,70,<=50K
45.0,Private,11th,Machine-op-inspct,40,>50K
24.0,Private,Some-college,Sales,25,<=50K
67.0,Local-gov,7th-8th,Protective-serv,40,<=50K
28.0,Private,Some-college,Machine-op-inspct,40,<=50K
22.0,Others,Assoc-acdm,Others,40,<=50K
57.0,Private,Assoc-voc,Craft-repair,40,>50K
68.0,Private,HS-grad,Machine-op-inspct,28,<=50K
23.0,Others,Some-college,Others,30,<=50K
49.0,Private,HS-grad,Handlers-cleaners,40,<=50K
42.0,Private,Masters,Sales,65,<=50K
61.0,Self-emp-not-inc,HS-grad,Exec-managerial,40,>50K
47.0,Private,7th-8th,Transport-moving,40,<=50K
22.0,Private,11th,Craft-repair,40,<=50K
58.0,State-gov,Doctorate,Prof-specialty,50,>50K
50.0,Self-emp-inc,Doctorate,Exec-managerial,60,>50K
34.0,Private,Some-college,Craft-repair,40,<=50K
59.0,Others,HS-grad,Others,35,<=50K
42.0,Self-emp-inc,Bachelors,Sales,45,<=50K
20.0,Private,11th,Farming-fishing,40,<=50K
27.0,Self-emp-not-inc,Some-college,Sales,40,<=50K
50.0,Private,HS-grad,Sales,60,>50K
63.0,Private,Some-college,Exec-managerial,40,>50K
32.0,Private,Some-college,Protective-serv,40,<=50K
37.0,State-gov,Assoc-voc,Protective-serv,40,<=50K
63.0,Self-emp-not-inc,10th,Craft-repair,20,<=50K
22.0,Private,Some-college,Adm-clerical,20,<=50K
24.0,Private,Some-college,Sales,25,<=50K
40.0,Private,Some-college,Prof-specialty,40,<=50K
36.0,Private,HS-grad,Craft-repair,40,<=50K
30.0,Self-emp-not-inc,Some-college,Prof-specialty,50,<=50K
38.0,Others,11th,Others,20,<=50K
34.0,Private,10th,Machine-op-inspct,40,<=50K
21.0,Private,Some-college,Other-service,30,<=50K
56.0,Private,HS-grad,Adm-clerical,43,<=50K
38.0,Private,Assoc-acdm,Prof-specialty,40,>50K
32.0,Private,Assoc-acdm,Adm-clerical,40,<=50K
45.0,Private,Some-college,Other-service,24,<=50K
64.0,Local-gov,HS-grad,Adm-clerical,40,<=50K
30.0,Self-emp-inc,Bachelors,Exec-managerial,50,>50K
32.0,Self-emp-inc,Bachelors,Sales,70,>50K
26.0,Private,HS-grad,Machine-op-inspct,40,<=50K
46.0,Self-emp-not-inc,HS-grad,Craft-repair,30,>50K
55.0,Federal-gov,7th-8th,Adm-clerical,72,<=50K
51.0,Self-emp-not-inc,Some-college,Craft-repair,8,>50K
62.0,Local-gov,HS-grad,Craft-repair,40,<=50K
34.0,Local-gov,Bachelors,Prof-specialty,40,>50K
54.0,Local-gov,Some-college,Exec-managerial,40,<=50K
35.0,Self-emp-not-inc,Bachelors,Sales,40,<=50K
28.0,Private,Bachelors,Exec-managerial,48,<=50K
17.0,Private,12th,Other-service,16,<=50K
22.0,Private,Some-college,Other-service,35,<=50K
67.0,Self-emp-inc,7th-8th,Craft-repair,48,<=50K
43.0,Self-emp-not-inc,Some-college,Sales,65,<=50K
57.0,Local-gov,Assoc-voc,Protective-serv,40,>50K
38.0,Private,HS-grad,Priv-house-serv,35,<=50K
19.0,Private,HS-grad,Sales,25,<=50K
34.0,Private,HS-grad,Tech-support,40,<=50K
50.0,Others,Assoc-voc,Others,16,<=50K
33.0,Private,HS-grad,Machine-op-inspct,40,<=50K
18.0,Private,Some-college,Other-service,20,<=50K
40.0,Private,Bachelors,Prof-specialty,5,<=50K
32.0,Private,HS-grad,Tech-support,45,<=50K
25.0,Private,HS-grad,Adm-clerical,40,<=50K
29.0,Private,Bachelors,Adm-clerical,40,<=50K
33.0,Self-emp-inc,HS-grad,Exec-managerial,50,>50K
34.0,Private,HS-grad,Tech-support,40,<=50K
21.0,Others,HS-grad,Others,40,<=50K
23.0,Private,10th,Handlers-cleaners,40,<=50K
21.0,Private,Some-college,Machine-op-inspct,40,<=50K
42.0,Private,Some-college,Craft-repair,40,<=50K
32.0,Private,Some-college,Tech-support,40,<=50K
31.0,Private,Some-college,Craft-repair,40,<=50K
63.0,Private,HS-grad,Other-service,50,<=50K
36.0,Private,Masters,Prof-specialty,50,>50K
34.0,Private,Some-college,Other-service,30,<=50K
60.0,Federal-gov,9th,Other-service,40,<=50K
23.0,Private,Bachelors,Prof-specialty,30,<=50K
47.0,Self-emp-inc,Some-college,Exec-managerial,40,>50K
20.0,Private,Some-college,Exec-managerial,16,<=50K
50.0,Private,Masters,Exec-managerial,50,>50K
29.0,Private,12th,Sales,35,<=50K
37.0,Private,HS-grad,Craft-repair,40,<=50K
20.0,Private,Some-college,Adm-clerical,10,<=50K
50.0,Private,Some-college,Exec-managerial,50,>50K
31.0,Self-emp-not-inc,HS-grad,Craft-repair,50,<=50K
27.0,Others,Some-college,Others,40,<=50K
35.0,Private,Assoc-voc,Sales,40,>50K
38.0,Private,Bachelors,Sales,70,>50K
24.0,Local-gov,Some-college,Adm-clerical,40,<=50K
29.0,Private,Some-college,Adm-clerical,40,<=50K
27.0,Private,Assoc-voc,Tech-support,40,<=50K
21.0,Local-gov,Some-college,Protective-serv,48,<=50K
64.0,Private,HS-grad,Transport-moving,40,<=50K
33.0,Private,HS-grad,Transport-moving,40,<=50K
35.0,Private,11th,Craft-repair,40,<=50K
51.0,Private,HS-grad,Transport-moving,50,<=50K
23.0,Private,Bachelors,Exec-managerial,40,<=50K
75.0,Others,Masters,Others,26,<=50K
26.0,Private,HS-grad,Farming-fishing,40,<=50K
64.0,Private,Masters,Prof-specialty,40,>50K
32.0,Self-emp-inc,HS-grad,Farming-fishing,50,<=50K
17.0,Private,12th,Sales,20,<=50K
34.0,State-gov,Some-college,Protective-serv,47,<=50K
37.0,Private,HS-grad,Craft-repair,40,>50K
72.0,Others,HS-grad,Others,14,<=50K
47.0,Private,Some-college,Prof-specialty,50,<=50K
45.0,Self-emp-inc,Bachelors,Other-service,35,<=50K
23.0,Private,10th,Other-service,50,<=50K
36.0,Private,Masters,Exec-managerial,50,>50K
62.0,Self-emp-inc,Doctorate,Prof-specialty,45,>50K
34.0,Federal-gov,Bachelors,Exec-managerial,53,>50K
36.0,Private,10th,Machine-op-inspct,40,<=50K
35.0,Private,Bachelors,Sales,60,>50K
36.0,State-gov,Bachelors,Exec-managerial,40,<=50K
29.0,Private,Bachelors,Tech-support,40,<=50K
54.0,Private,Bachelors,Exec-managerial,55,>50K
38.0,Private,HS-grad,Machine-op-inspct,40,<=50K
27.0,Private,HS-grad,Adm-clerical,50,<=50K
26.0,Private,Bachelors,Sales,45,<=50K
44.0,Private,7th-8th,Transport-moving,20,<=50K
26.0,Private,Assoc-acdm,Adm-clerical,36,<=50K
42.0,Private,Some-college,Machine-op-inspct,45,<=50K
37.0,Self-emp-not-inc,Prof-school,Prof-specialty,60,>50K
26.0,Private,Bachelors,Adm-clerical,35,<=50K
36.0,Private,HS-grad,Craft-repair,40,<=50K
19.0,Others,HS-grad,Others,40,<=50K
44.0,Private,Masters,Exec-managerial,50,<=50K
23.0,Private,HS-grad,Protective-serv,42,<=50K
27.0,Private,Some-college,Other-service,40,<=50K
53.0,Private,HS-grad,Craft-repair,60,<=50K
28.0,Private,HS-grad,Farming-fishing,40,<=50K
22.0,Private,HS-grad,Other-service,35,<=50K
29.0,Private,11th,Craft-repair,40,<=50K
41.0,Private,Some-college,Exec-managerial,40,>50K
34.0,Private,HS-grad,Sales,40,<=50K
42.0,Private,Bachelors,Exec-managerial,70,<=50K
30.0,Private,9th,Machine-op-inspct,40,<=50K
41.0,Private,Some-college,Sales,43,<=50K
37.0,Private,Bachelors,Adm-clerical,32,<=50K
46.0,Private,11th,Machine-op-inspct,40,<=50K
46.0,Private,7th-8th,Other-service,40,<=50K
30.0,Private,Bachelors,Prof-specialty,50,>50K
27.0,Private,Bachelors,Prof-specialty,50,<=50K
25.0,Private,HS-grad,Handlers-cleaners,43,<=50K
21.0,State-gov,Some-college,Prof-specialty,40,<=50K
23.0,Private,Assoc-acdm,Sales,40,<=50K
18.0,Private,HS-grad,Exec-managerial,30,<=50K
46.0,Local-gov,11th,Handlers-cleaners,40,<=50K
27.0,Private,Some-college,Adm-clerical,48,<=50K
25.0,Private,Bachelors,Prof-specialty,60,<=50K
61.0,Self-emp-not-inc,Bachelors,Exec-managerial,50,>50K
50.0,Private,Masters,Exec-managerial,40,>50K
66.0,Private,Some-college,Adm-clerical,40,<=50K
26.0,Private,HS-grad,Adm-clerical,20,<=50K
50.0,Self-emp-inc,Assoc-acdm,Prof-specialty,48,>50K
41.0,Private,HS-grad,Tech-support,40,<=50K
43.0,Self-emp-not-inc,Assoc-acdm,Craft-repair,20,<=50K
38.0,State-gov,Bachelors,Prof-specialty,40,>50K
20.0,Private,Some-college,Adm-clerical,35,<=50K
58.0,Private,Assoc-acdm,Exec-managerial,42,>50K
41.0,Federal-gov,Doctorate,Prof-specialty,50,>50K
43.0,Local-gov,Assoc-voc,Prof-specialty,36,<=50K
39.0,Private,Bachelors,Exec-managerial,40,<=50K
22.0,Private,Some-college,Protective-serv,60,<=50K
52.0,Private,HS-grad,Other-service,40,<=50K
35.0,Others,Bachelors,Others,40,<=50K
46.0,Private,HS-grad,Other-service,40,<=50K
20.0,Private,Some-college,Sales,40,<=50K
55.0,Private,Some-college,Machine-op-inspct,48,>50K
48.0,Private,Some-college,Adm-clerical,40,<=50K
22.0,Others,Some-college,Others,40,<=50K
30.0,Private,Some-college,Adm-clerical,55,<=50K
40.0,Private,HS-grad,Exec-managerial,40,<=50K
44.0,Private,Bachelors,Prof-specialty,45,<=50K
55.0,Federal-gov,HS-grad,Transport-moving,40,<=50K
53.0,Private,Bachelors,Prof-specialty,28,<=50K
57.0,Others,10th,Others,40,<=50K
57.0,Private,7th-8th,Craft-repair,40,<=50K
47.0,Federal-gov,Assoc-voc,Adm-clerical,40,<=50K
46.0,Others,Some-college,Others,15,<=50K
64.0,State-gov,Bachelors,Prof-specialty,40,>50K
18.0,Private,12th,Other-service,18,<=50K
28.0,Others,Some-college,Others,40,<=50K
25.0,Private,HS-grad,Craft-repair,40,<=50K
37.0,Self-emp-not-inc,Bachelors,Transport-moving,50,<=50K
33.0,Private,HS-grad,Protective-serv,32,<=50K
66.0,Private,7th-8th,Other-service,20,<=50K
65.0,Others,HS-grad,Others,40,>50K
37.0,Private,Some-college,Tech-support,40,>50K
19.0,Private,Some-college,Adm-clerical,30,<=50K
37.0,Others,HS-grad,Others,35,<=50K
41.0,Private,Assoc-acdm,Other-service,40,<=50K
41.0,Private,HS-grad,Adm-clerical,40,<=50K
76.0,Private,HS-grad,Adm-clerical,8,<=50K
52.0,Private,Some-college,Sales,40,<=50K
23.0,Private,Some-college,Prof-specialty,50,<=50K
43.0,Federal-gov,HS-grad,Adm-clerical,35,<=50K
32.0,Private,Bachelors,Prof-specialty,55,<=50K
33.0,Private,Assoc-acdm,Other-service,35,<=50K
33.0,State-gov,Bachelors,Prof-specialty,15,<=50K
59.0,Self-emp-not-inc,10th,Craft-repair,50,<=50K
21.0,Private,11th,Handlers-cleaners,40,<=50K
40.0,Private,HS-grad,Machine-op-inspct,40,<=50K
22.0,Self-emp-not-inc,Assoc-voc,Farming-fishing,35,<=50K
45.0,Self-emp-not-inc,11th,Craft-repair,35,<=50K
28.0,Private,Bachelors,Prof-specialty,43,>50K
38.0,Private,Some-college,Tech-support,50,<=50K
56.0,Private,HS-grad,Craft-repair,40,<=50K
42.0,Others,Some-college,Others,18,<=50K
19.0,Private,HS-grad,Craft-repair,36,<=50K
48.0,Self-emp-not-inc,11th,Exec-managerial,30,>50K
31.0,Self-emp-not-inc,10th,Other-service,28,<=50K
42.0,Private,Assoc-voc,Craft-repair,40,<=50K
23.0,Others,10th,Others,40,<=50K
60.0,Self-emp-not-inc,Some-college,Other-service,50,<=50K
63.0,Private,HS-grad,Sales,40,<=50K
24.0,Private,11th,Other-service,40,<=50K
42.0,Private,Some-college,Craft-repair,50,>50K
71.0,Others,Masters,Others,8,>50K
32.0,State-gov,Masters,Prof-specialty,40,<=50K
57.0,Self-emp-not-inc,Bachelors,Exec-managerial,50,<=50K
56.0,Private,HS-grad,Sales,44,<=50K
65.0,Others,Some-college,Others,50,<=50K
42.0,Private,HS-grad,Craft-repair,50,>50K
24.0,Private,11th,Sales,40,<=50K
31.0,Private,HS-grad,Craft-repair,40,>50K
58.0,Private,HS-grad,Transport-moving,40,>50K
44.0,Private,Masters,Prof-specialty,45,>50K
33.0,Private,Some-college,Machine-op-inspct,48,<=50K
24.0,Others,Some-college,Others,25,<=50K
34.0,Local-gov,Bachelors,Exec-managerial,45,<=50K
72.0,Self-emp-not-inc,7th-8th,Transport-moving,14,<=50K
61.0,Private,HS-grad,Machine-op-inspct,40,<=50K
33.0,Private,Bachelors,Sales,80,>50K
58.0,Private,Masters,Prof-specialty,40,<=50K
57.0,Self-emp-inc,HS-grad,Sales,30,>50K
25.0,Private,HS-grad,Machine-op-inspct,40,<=50K
72.0,Private,9th,Sales,16,<=50K
23.0,Private,HS-grad,Adm-clerical,40,<=50K
40.0,Private,HS-grad,Handlers-cleaners,40,<=50K
38.0,Private,Some-college,Craft-repair,48,>50K
49.0,Private,Assoc-acdm,Sales,40,<=50K
25.0,Private,HS-grad,Craft-repair,40,<=50K
33.0,Private,Some-college,Exec-managerial,40,<=50K
28.0,Private,Bachelors,Adm-clerical,40,<=50K
18.0,Others,Some-college,Others,20,<=50K
71.0,Private,HS-grad,Sales,50,<=50K
63.0,Local-gov,HS-grad,Other-service,55,<=50K
49.0,Local-gov,Assoc-voc,Protective-serv,56,>50K
65.0,Private,Masters,Adm-clerical,40,>50K
22.0,Private,Some-college,Tech-support,50,<=50K
45.0,Private,HS-grad,Farming-fishing,39,<=50K
32.0,Others,Some-college,Others,40,<=50K
29.0,Private,Bachelors,Prof-specialty,40,<=50K
44.0,Private,Bachelors,Machine-op-inspct,40,<=50K
64.0,Private,HS-grad,Adm-clerical,40,<=50K
22.0,Private,7th-8th,Handlers-cleaners,40,<=50K
64.0,Private,HS-grad,Sales,50,<=50K
39.0,Private,Bachelors,Sales,40,<=50K
35.0,Private,HS-grad,Craft-repair,40,<=50K
22.0,Private,11th,Transport-moving,40,<=50K
43.0,Self-emp-inc,Bachelors,Sales,45,>50K
26.0,Self-emp-not-inc,Assoc-acdm,Farming-fishing,75,<=50K
47.0,Federal-gov,Assoc-acdm,Handlers-cleaners,40,>50K
37.0,Local-gov,Masters,Prof-specialty,50,>50K
25.0,Private,Bachelors,Exec-managerial,40,<=50K
41.0,Private,Assoc-voc,Craft-repair,45,>50K
39.0,Self-emp-not-inc,Some-college,Prof-specialty,10,<=50K
45.0,Federal-gov,Doctorate,Prof-specialty,40,>50K
18.0,Others,11th,Others,30,<=50K
37.0,Local-gov,HS-grad,Craft-repair,40,<=50K
30.0,Private,HS-grad,Handlers-cleaners,40,<=50K
34.0,Private,11th,Farming-fishing,60,<=50K
22.0,Private,Some-college,Handlers-cleaners,25,<=50K
18.0,Private,HS-grad,Handlers-cleaners,30,<=50K
22.0,Private,HS-grad,Sales,40,<=50K
55.0,Private,Some-college,Other-service,10,<=50K
56.0,Private,Some-college,Adm-clerical,35,>50K
19.0,Others,12th,Others,40,<=50K
74.0,Self-emp-inc,Bachelors,Adm-clerical,6,>50K
18.0,Private,HS-grad,Other-service,40,<=50K
39.0,Private,Some-college,Machine-op-inspct,40,<=50K
33.0,Local-gov,12th,Machine-op-inspct,36,<=50K
28.0,Private,Bachelors,Adm-clerical,40,<=50K
38.0,Private,HS-grad,Other-service,40,<=50K
53.0,Federal-gov,Some-college,Adm-clerical,40,<=50K
44.0,Self-emp-not-inc,12th,Exec-managerial,55,>50K
32.0,Local-gov,HS-grad,Transport-moving,40,<=50K
58.0,Private,Bachelors,Prof-specialty,40,>50K
28.0,Private,HS-grad,Exec-managerial,40,<=50K
33.0,Local-gov,Masters,Prof-specialty,40,>50K
33.0,Private,Assoc-voc,Craft-repair,45,>50K
51.0,Private,HS-grad,Other-service,32,<=50K
51.0,Private,HS-grad,Adm-clerical,40,<=50K
39.0,Self-emp-not-inc,9th,Craft-repair,40,<=50K
32.0,Private,HS-grad,Machine-op-inspct,66,<=50K
45.0,Private,Bachelors,Adm-clerical,45,<=50K
19.0,Private,Some-college,Adm-clerical,20,<=50K
52.0,Others,Assoc-acdm,Others,20,>50K
21.0,Private,HS-grad,Other-service,40,<=50K
76.0,Private,HS-grad,Prof-specialty,20,<=50K
46.0,Local-gov,Some-college,Other-service,40,<=50K
27.0,Private,Some-college,Adm-clerical,40,<=50K
51.0,Private,HS-grad,Craft-repair,60,<=50K
19.0,Private,HS-grad,Adm-clerical,20,<=50K
30.0,State-gov,Assoc-voc,Prof-specialty,40,<=50K
46.0,Private,HS-grad,Adm-clerical,12,>50K
68.0,Private,Some-college,Craft-repair,48,<=50K
36.0,Private,Bachelors,Prof-specialty,60,>50K
71.0,Private,HS-grad,Priv-house-serv,20,<=50K
32.0,Private,Some-college,Farming-fishing,40,<=50K
43.0,Private,HS-grad,Adm-clerical,40,<=50K
33.0,Private,HS-grad,Craft-repair,50,<=50K
24.0,Local-gov,Some-college,Protective-serv,40,<=50K
38.0,Private,Assoc-voc,Other-service,36,<=50K
76.0,Private,Some-college,Sales,37,<=50K
35.0,Self-emp-not-inc,HS-grad,Other-service,5,<=50K
23.0,Private,Bachelors,Sales,40,<=50K
46.0,Local-gov,Some-college,Handlers-cleaners,40,<=50K
44.0,Self-emp-inc,Some-college,Exec-managerial,50,>50K
17.0,Others,10th,Others,10,<=50K
30.0,Private,HS-grad,Other-service,40,<=50K
51.0,Private,HS-grad,Other-service,15,<=50K
18.0,Self-emp-not-inc,11th,Farming-fishing,24,<=50K
23.0,Private,10th,Craft-repair,18,<=50K
53.0,Federal-gov,Masters,Exec-managerial,40,>50K
25.0,Private,Some-college,Adm-clerical,40,<=50K
44.0,Private,Masters,Exec-managerial,40,>50K
49.0,Private,Masters,Sales,40,>50K
28.0,Private,HS-grad,Other-service,40,<=50K
58.0,Self-emp-not-inc,Masters,Sales,40,>50K
36.0,Private,HS-grad,Adm-clerical,35,<=50K
32.0,Private,HS-grad,Craft-repair,40,>50K
26.0,Private,Bachelors,Prof-specialty,40,>50K
25.0,Private,HS-grad,Farming-fishing,50,<=50K
19.0,Private,10th,Other-service,24,<=50K
39.0,Private,HS-grad,Other-service,40,>50K
44.0,Private,HS-grad,Adm-clerical,40,<=50K
32.0,Private,HS-grad,Machine-op-inspct,42,<=50K
57.0,Private,HS-grad,Sales,40,<=50K
64.0,Private,9th,Other-service,40,<=50K
46.0,Local-gov,Masters,Prof-specialty,45,>50K
37.0,Private,Bachelors,Adm-clerical,40,<=50K
22.0,Private,Assoc-voc,Sales,40,<=50K
30.0,Private,10th,Craft-repair,40,<=50K
33.0,Local-gov,Bachelors,Prof-specialty,40,<=50K
32.0,Private,HS-grad,Sales,40,<=50K
23.0,Self-emp-not-inc,HS-grad,Handlers-cleaners,35,<=50K
40.0,Local-gov,HS-grad,Adm-clerical,40,<=50K
21.0,Private,HS-grad,Other-service,40,<=50K
48.0,Private,Masters,Machine-op-inspct,40,<=50K
41.0,Private,Bachelors,Machine-op-inspct,40,<=50K
37.0,Private,10th,Farming-fishing,40,<=50K
30.0,Local-gov,Masters,Prof-specialty,45,<=50K
49.0,Private,Bachelors,Prof-specialty,50,>50K
38.0,State-gov,Some-college,Exec-managerial,40,<=50K
61.0,Private,Bachelors,Machine-op-inspct,40,<=50K
62.0,Self-emp-not-inc,Bachelors,Sales,40,>50K
47.0,Private,HS-grad,Machine-op-inspct,40,<=50K
35.0,Private,Assoc-voc,Craft-repair,50,<=50K
44.0,State-gov,Bachelors,Farming-fishing,40,<=50K
30.0,State-gov,Bachelors,Exec-managerial,40,<=50K
28.0,Self-emp-not-inc,HS-grad,Craft-repair,45,<=50K
57.0,Private,HS-grad,Other-service,50,<=50K
26.0,State-gov,Bachelors,Exec-managerial,40,<=50K
38.0,Private,Assoc-voc,Handlers-cleaners,48,>50K
44.0,Self-emp-not-inc,Some-college,Machine-op-inspct,40,<=50K
35.0,Private,7th-8th,Sales,40,<=50K
40.0,State-gov,Masters,Prof-specialty,58,<=50K
50.0,Self-emp-not-inc,Some-college,Prof-specialty,25,<=50K
37.0,Self-emp-inc,HS-grad,Craft-repair,60,>50K
26.0,Private,Bachelors,Tech-support,12,<=50K
64.0,Private,Some-college,Tech-support,40,>50K
29.0,Private,HS-grad,Craft-repair,40,<=50K
28.0,Private,HS-grad,Machine-op-inspct,50,>50K
28.0,Private,Some-college,Prof-specialty,25,<=50K
33.0,State-gov,Bachelors,Exec-managerial,40,<=50K
24.0,Private,HS-grad,Handlers-cleaners,30,<=50K
26.0,State-gov,HS-grad,Transport-moving,40,<=50K
77.0,Self-emp-not-inc,Bachelors,Prof-specialty,20,<=50K
25.0,Federal-gov,Some-college,Exec-managerial,9,<=50K
53.0,Private,12th,Handlers-cleaners,40,<=50K
38.0,Private,11th,Adm-clerical,44,<=50K
30.0,Private,Masters,Prof-specialty,47,>50K
39.0,Self-emp-not-inc,HS-grad,Craft-repair,40,<=50K
51.0,Self-emp-not-inc,Doctorate,Sales,50,>50K
25.0,Others,Bachelors,Others,15,<=50K
49.0,Self-emp-inc,Bachelors,Sales,85,>50K
51.0,Private,Some-college,Prof-specialty,40,<=50K
47.0,Self-emp-not-inc,HS-grad,Other-service,48,<=50K
36.0,Private,9th,Farming-fishing,40,<=50K
40.0,Self-emp-not-inc,Masters,Prof-specialty,45,<=50K
30.0,Federal-gov,Some-college,Adm-clerical,40,<=50K
39.0,Private,Bachelors,Exec-managerial,40,<=50K
47.0,Local-gov,Masters,Prof-specialty,50,<=50K
28.0,Local-gov,HS-grad,Protective-serv,40,<=50K
23.0,Private,Bachelors,Sales,40,<=50K
57.0,Private,Bachelors,Exec-managerial,40,<=50K
58.0,Private,HS-grad,Transport-moving,24,<=50K
78.0,Others,Some-college,Others,6,<=50K
46.0,Self-emp-not-inc,Some-college,Craft-repair,55,<=50K
23.0,Private,HS-grad,Exec-managerial,55,<=50K
32.0,Private,Bachelors,Sales,32,<=50K
43.0,Private,Bachelors,Machine-op-inspct,40,<=50K
34.0,Private,10th,Exec-managerial,45,<=50K
23.0,Private,Some-college,Sales,40,<=50K
38.0,Private,Bachelors,Exec-managerial,40,>50K
59.0,Private,HS-grad,Machine-op-inspct,40,>50K
22.0,Private,11th,Craft-repair,40,<=50K
50.0,State-gov,Masters,Prof-specialty,46,>50K
44.0,Private,Bachelors,Adm-clerical,40,>50K
60.0,Others,7th-8th,Others,40,<=50K
56.0,State-gov,Some-college,Adm-clerical,40,<=50K
36.0,Private,HS-grad,Machine-op-inspct,40,<=50K
20.0,Private,HS-grad,Handlers-cleaners,40,<=50K
38.0,Self-emp-not-inc,HS-grad,Sales,55,<=50K
29.0,Private,HS-grad,Sales,50,<=50K
32.0,State-gov,Assoc-acdm,Prof-specialty,20,<=50K
36.0,Private,Some-college,Exec-managerial,35,<=50K
19.0,State-gov,Assoc-acdm,Adm-clerical,18,<=50K
37.0,State-gov,HS-grad,Other-service,40,<=50K
22.0,Private,Bachelors,Exec-managerial,15,<=50K
42.0,Private,Bachelors,Sales,45,>50K
22.0,Private,Some-college,Adm-clerical,20,<=50K
35.0,Self-emp-inc,Bachelors,Prof-specialty,45,>50K
21.0,Private,Some-college,Other-service,25,<=50K
43.0,Self-emp-not-inc,Doctorate,Prof-specialty,42,>50K
22.0,Others,HS-grad,Others,40,<=50K
18.0,Private,11th,Other-service,24,<=50K
28.0,Private,11th,Other-service,40,<=50K
20.0,Others,Some-college,Others,24,<=50K
32.0,Private,Doctorate,Prof-specialty,45,<=50K
49.0,Local-gov,11th,Other-service,60,<=50K
38.0,Local-gov,Some-college,Adm-clerical,40,<=50K
21.0,Private,HS-grad,Machine-op-inspct,40,<=50K
22.0,Private,10th,Sales,15,<=50K
34.0,Local-gov,Masters,Prof-specialty,35,>50K
32.0,Private,Some-college,Prof-specialty,45,<=50K
33.0,Private,Some-college,Tech-support,20,<=50K
41.0,Private,Some-college,Sales,52,<=50K
38.0,Private,HS-grad,Machine-op-inspct,40,<=50K
58.0,State-gov,Bachelors,Tech-support,40,>50K
44.0,Private,Some-college,Machine-op-inspct,35,<=50K
61.0,Private,Bachelors,Machine-op-inspct,40,>50K
35.0,Private,Some-college,Tech-support,40,<=50K
36.0,Private,HS-grad,Sales,50,<=50K
44.0,Private,Some-college,Adm-clerical,40,<=50K
35.0,Private,HS-grad,Craft-repair,40,<=50K
43.0,Private,Bachelors,Prof-specialty,38,<=50K
51.0,Self-emp-inc,HS-grad,Exec-managerial,50,>50K
23.0,Private,HS-grad,Farming-fishing,53,<=50K
59.0,Private,HS-grad,Other-service,40,<=50K
18.0,Private,HS-grad,Other-service,12,<=50K
23.0,Private,Some-college,Machine-op-inspct,15,<=50K
